Position(bp)	Rate(cM/Mb)	Map(cM)	Filtered
 20010553	0.0	0.0	1
 20034919	0.0	0.0	1
 20045285	0.0	0.0	1
 20052959	0.0	0.0	1
 20068386	0.0	0.0	1
 20071673	0.0	0.0	1
 20083584	0.0	0.0	1
 20085638	0.0	0.0	1
 20104168	0.0	0.0	1
 20113029	0.0	0.0	1
 20117984	0.0	0.0	1
 20151322	0.0	0.0	1
 20161372	0.0	0.0	1
 20172320	0.0	0.0	1
 20174568	0.0	0.0	1
 20176300	0.0	0.0	1
 20177092	0.0	0.0	1
 20177733	0.0	0.0	1
 20186867	0.0	0.0	1
 20189247	0.0	0.0	1
 20191741	0.0	0.0	1
 20192011	0.0	0.0	1
 20194223	0.0	0.0	1
 20196661	0.0	0.0	1
 20197164	0.0	0.0	1
 20212798	0.0	0.0	1
 20489414	0.0	0.0	1
 20585204	0.0	0.0	1
 20611029	0.0	0.0	1
 20870571	0.0	0.0	1
 20980012	0.0	0.0	1
 20993037	0.0	0.0	1
 21084716	0.0	0.0	1
 21090671	0.0	0.0	1
 21125286	0.0	0.0	1
 21127338	0.0	0.0	1
 21138119	0.0	0.0	1
 21150680	0.0	0.0	1
 21183803	0.0	0.0	1
 21241118	0.0	0.0	1
 22368738	0.0	0.0	1
 22427633	0.0	0.0	1
 22429561	0.0	0.0	1
 22429856	0.0	0.0	1
 22432634	0.0	0.0	1
 22445206	0.0	0.0	1
 22468503	0.0	0.0	1
 22490018	0.0	0.0	1
 22505321	0.0	0.0	1
 22516403	0.0	0.0	1
 22678398	0.0	0.0	1
 22750305	0.0	0.0	1
 22751234	0.0	0.0	1
 22753733	0.0	0.0	1
 22754774	0.0	0.0	1
 22755185	0.0	0.0	1
 22759438	0.0	0.0	1
 22759530	0.0	0.0	1
 22763396	0.0	0.0	1
 22764314	0.0	0.0	1
 22765683	0.0	0.0	1
 22766739	0.0	0.0	1
 22767412	0.0	0.0	1
 22768701	0.0	0.0	1
 22769771	0.0	0.0	1
 22770994	0.0	0.0	1
 22772239	0.0	0.0	1
 22777680	0.0	0.0	1
 22777875	0.0	0.0	1
 22778880	0.0	0.0	1
 22782175	0.0	0.0	1
 22784095	0.0	0.0	1
 22784483	0.0	0.0	1
 22787103	0.0	0.0	1
 22789021	0.0	0.0	1
 22790210	0.0	0.0	1
 22795346	0.0	0.0	1
 22796596	0.0	0.0	1
 22798709	0.0	0.0	1
 22799945	0.0	0.0	1
 22800459	0.0	0.0	1
 22801026	0.0	0.0	1
 22804848	0.0	0.0	1
 22808811	0.0	0.0	1
 22815943	0.0	0.0	1
 22816545	0.0	0.0	1
 22816713	0.0	0.0	1
 22816839	0.0	0.0	1
 22817871	0.0	0.0	1
 22818332	0.0	0.0	1
 22819645	0.0	0.0	1
 22821134	0.0	0.0	1
 22833075	0.0	0.0	1
 22835646	0.0	0.0	1
 22835810	0.0	0.0	1
 22835967	0.0	0.0	1
 22836984	0.0	0.0	1
 22837143	0.0	0.0	1
 22837281	0.0	0.0	1
 22840279	0.0	0.0	1
 22841748	0.122326962083	0.0	0
 22845128	0.119980892921	0.000413464866747	0
 22845832	0.117820388553	0.000497931309326	0
 22847512	0.117621569132	0.000695869297002	0
 22849957	0.117581805248	0.000983454961354	0
 22850389	0.117515532108	0.00103424934689	0
 22850806	0.117515532108	0.00108325435764	0
 22853997	0.117714351528	0.00145824634107	0
 22854972	0.117860152437	0.00157301816517	0
 22857358	0.118456610698	0.00185423232983	0
 22860243	0.119967638293	0.00219597905524	0
 22862603	0.123493369349	0.00247910321179	0
 22863001	0.127708341062	0.00252825269799	0
 22865671	0.128437345604	0.00286923463136	0
 22866621	0.129166350146	0.00299125010968	0
 22868301	0.129351914938	0.00320824957793	0
 22868600	0.129497715846	0.00324692525705	0
 22869547	0.129802572291	0.00336955972651	0
 22870800	0.129749553779	0.0035322019652	0
 22873325	0.129842336175	0.00385982058259	0
 22873784	0.129842336175	0.0039194173666	0
 22876889	0.129842336175	0.00432257808552	0
 22877035	0.129842336175	0.00434153485452	0
 22877725	0.129749553779	0.00443112686176	0
 22878344	0.129749553779	0.00451144195484	0
 22882240	17.0202943617	0.00501694563316	0
 22883413	17.0202943617	0.0249817516352	0
 22883815	17.0202943617	0.0318239099156	0
 22884624	17.0202943617	0.0455933278156	0
 22886225	0.467795587039	0.0728428190622	0
 22892083	0.471440609747	0.0755831656906	0
 22893917	0.471294808838	0.0764477876098	0
 22894120	0.470353730248	0.0765434608404	0
 22896314	0.4701416562	0.0775754158112	0
 22902327	0.466655689028	0.0804023774574	0
 22902880	0.465979702999	0.0806604384378	0
 22903717	0.465515791018	0.0810504638203	0
 22903753	0.462082842358	0.0810672216465	0
 22904312	0.462215388638	0.0813255265121	0
 22905647	0.464415656891	0.0819425837908	0
 22905775	0.467663040758	0.0820020294721	0
 22907319	0.512145572425	0.0827241005178	0
 22907565	0.57062499129	0.0828500884081	0
 22907898	0.708300812631	0.0830401067555	0
 22908858	0.743995525914	0.0837200758008	0
 22909207	0.847978082804	0.0839797299875	0
 22910324	0.588412702106	0.084926921612	0
 22910782	0.378910051474	0.0851964147091	0
 22913922	0.378326847841	0.0863861925358	0
 22914478	10.6928000331	0.0865965421572	0
 22914496	26.2137971452	0.0867890126108	0
 22914646	35.8667981187	0.0907210815198	0
 22916162	35.4946876914	0.145095148422	0
