Position(bp)	Rate(cM/Mb)	Map(cM)	Filtered
 10784384	0.0	0.0	1
 10790351	0.0	0.0	1
 10810892	0.0	0.0	1
 10824667	0.0	0.0	1
 10863251	0.0	0.0	1
 10873592	0.0	0.0	1
 10874452	0.0	0.0	1
 10913441	0.0	0.0	1
 11055527	0.0	0.0	1
 11174341	0.0	0.0	1
 14434170	0.0	0.0	1
 14478785	0.0	0.0	1
 14532101	0.0	0.0	1
 14537654	0.0	0.0	1
 14595264	0.0	0.0	1
 14601415	0.0	0.0	1
 14620043	0.0	0.0	1
 14620699	0.0	0.0	1
 14640426	0.0	0.0	1
 14669931	0.0	0.0	1
 14670124	0.0	0.0	1
 14679332	0.0	0.0	1
 14687571	0.0	0.0	1
 14704303	0.0	0.0	1
 14747166	0.0	0.0	1
 14748916	0.0	0.0	1
 14750023	0.0	0.0	1
 14756310	0.0	0.0	1
 14762190	0.0	0.0	1
 14770820	0.0	0.0	1
 14774097	0.0	0.0	1
 14779379	0.0	0.0	1
 14779935	0.0	0.0	1
 14781959	0.0	0.0	1
 14782532	0.0	0.0	1
 14795746	0.0	0.0	1
 14800828	0.0	0.0	1
 14801666	0.0	0.0	1
 14811739	0.0	0.0	1
 14818410	0.0	0.0	1
 14823575	0.0	0.0	1
 14824503	0.0	0.0	1
 14827698	0.0	0.0	1
 14832310	0.0	0.0	1
 14835272	0.0	0.0	1
 14836389	0.0	0.0	1
 14837260	0.0	0.0	1
 14853302	0.0	0.0	1
 14853994	0.0	0.0	1
 14860614	0.0	0.0	1
 14889913	0.0	0.0	1
 14899588	0.0	0.0	1
 14902699	0.0	0.0	1
 14931069	0.0	0.0	1
 14936462	0.0	0.0	1
 14940625	0.0	0.0	1
 14946867	0.0	0.0	1
 14957973	0.0	0.0	1
 14958099	0.0	0.0	1
 14973902	0.0	0.0	1
 14977738	0.0	0.0	1
 14983248	0.158103179228	0.0	0
 14998515	0.152241120238	0.00241376097865	0
 15005648	0.148835953619	0.00349969663069	0
 15024549	0.148771298556	0.00631284486073	0
 15029230	0.148943712056	0.00700924453772	0
 15048473	0.181594518562	0.00987536681554	0
 15053784	0.177241077695	0.0108398156053	0
