Position(bp)	Rate(cM/Mb)	Map(cM)	Filtered
 16489239	0.0	0.0	1
 16494187	0.0	0.0	1
 16504399	0.0	0.0	1
 16855618	0.0	0.0	1
 16869887	0.0	0.0	1
 16872459	0.0	0.0	1
 16890307	0.0	0.0	1
 16923693	0.0	0.0	1
 17000277	0.0	0.0	1
 17012935	0.0	0.0	1
 17031494	0.0	0.0	1
 17054795	0.0	0.0	1
 17055818	0.0	0.0	1
 17057138	0.0	0.0	1
 17058560	0.0	0.0	1
 17058616	0.0	0.0	1
 17064010	0.0	0.0	1
 17066493	0.0	0.0	1
 17072483	0.0	0.0	1
 17073066	0.0	0.0	1
 17075353	0.0	0.0	1
 17080378	0.0	0.0	1
 17094749	0.0	0.0	1
 17096864	0.0	0.0	1
 17097416	0.0	0.0	1
 17099492	0.0	0.0	1
 17103078	0.0	0.0	1
 17103717	0.0	0.0	1
 17107330	0.0	0.0	1
 17108419	0.0	0.0	1
 17112342	0.0	0.0	1
 17117059	0.0	0.0	1
 17130657	0.0	0.0	1
 17131866	0.0	0.0	1
 17133436	0.0	0.0	1
 17136617	0.0	0.0	1
 17150676	0.0	0.0	1
 17156280	0.0	0.0	1
 17159157	0.0	0.0	1
 17162767	0.0	0.0	1
 17164773	0.0	0.0	1
 17169403	0.0	0.0	1
 17169522	0.0	0.0	1
 17169729	0.0	0.0	1
 17169762	0.0	0.0	1
 17169979	0.0	0.0	1
 17171328	0.0	0.0	1
 17171377	0.0	0.0	1
 17177075	0.0	0.0	1
 17177470	0.0	0.0	1
 17177541	0.0	0.0	1
 17177906	0.0	0.0	1
 17178230	0.0	0.0	1
 17178924	0.0	0.0	1
 17180900	0.724196066459	0.0	0
 17187276	0.724152552906	0.0046174733365	0
 17187719	0.722216199787	0.00493827265635	0
 17195867	0.723042957298	0.0108228911225	0
 17196300	0.705354697909	0.0111359689623	0
 17202602	0.44749338145	0.0155811133983	0
 17203103	0.233058591117	0.0158053082786	0
 17208726	0.231840211626	0.0171157972586	0
 17210626	0.231905481956	0.0175562936607	0
 17211075	0.231470346424	0.0176604194179	0
 17211331	0.231056967668	0.0177196761747	0
 17212113	0.231056967668	0.0179003618531	0
 17219625	0.230904670232	0.019636060924	0
 17221208	0.230839399902	0.0200015834739	0
 17221495	0.230839399902	0.0200678350343	0
 17223938	0.230948183785	0.0206317750356	0
 17226948	0.230948183785	0.0213269301566	0
 17227461	0.230948183785	0.0214454066837	0
 17228796	0.230948183785	0.0217537219651	0
 17231603	0.230948183785	0.0224019934082	0
 17238270	0.230665345689	0.0239417248407	0
 17241459	0.23033899404	0.0246773171068	0
 17254399	0.228380884144	0.0276579041248	0
 17255527	0.227728180846	0.027915517414	0
 17255665	0.226640342015	0.0279469429021	0
 17256231	0.225987638716	0.0280752208571	0
 17259954	0.22577007095	0.0289165728143	0
 17264369	0.225791827727	0.0299133486566	0
 17264565	0.225073854098	0.0299576041159	0
 17264904	0.224181826257	0.0300339029558	0
 17265124	0.223768447501	0.0300832233927	0
 17265194	0.223159257756	0.0300988882719	0
 17266361	0.223159257756	0.0303593147123	0
 17267006	0.223050473873	0.0305032510194	0
 17267459	0.223050473873	0.0306042938413	0
 17268152	0.222724122224	0.0307588670365	0
 17269658	0.222593581564	0.0310942912616	0
 17270198	0.226857909781	0.0312144909253	0
 17270487	0.229555750081	0.031280052796	0
 17271068	0.229294668762	0.0314134240123	0
 17271461	0.229621020411	0.0315035384054	0
 17271703	0.229533993305	0.0315591052129	0
 17271714	0.230556561806	0.0315616311746	0
 17272246	0.230426021146	0.0316842871785	0
 17273468	35.8663943608	0.0319658677328	0
 17273728	35.9997634015	0.0412911289612	0
 17274624	35.9997634015	0.0735469187965	0
 17274708	35.9997634015	0.0765708975298	0
 17275394	35.9997634015	0.101266736181	0
 17276424	24.6913524034	0.138346492919	0
 17276523	1.22353584659	0.140790936394	0
 17278762	1.27736211194	0.143530432219	0
 17278928	1.33993460148	0.143742475939	0
 17280822	1.68414856434	0.146280310378	0
 17281931	0.702308749183	0.148148031745	0
 17282666	0.346454910842	0.148664228675	0
 17285949	0.283795394186	0.149801640322	0
 17286329	0.206950459177	0.149909482136	0
 17288310	0.206776404964	0.150319451605	0
 17288988	0.206363026208	0.150459645747	0
 17289118	0.206363026208	0.150486471852	0
 17290278	0.205253430601	0.150725852962	0
 17294997	0.202381536087	0.151694445076	0
 17299033	0.202381536087	0.152511257565	0
 17299261	0.202207481874	0.152557399337	0
 17300320	0.202446806417	0.152771538235	0
 17300408	0.202229238651	0.152789352684	0
 17301217	0.202533833524	0.152952957117	0
 17301843	0.203404104588	0.153079742557	0
 17302170	0.203556402025	0.153146255199	0
 17302509	0.207624919252	0.153215261167	0
 17303383	0.233210888553	0.153396725738	0
 17303596	0.274418223465	0.153446398635	0
 17304246	0.967632640022	0.153624771568	0
 17305777	1.90036741035	0.155106216596	0
 17306104	1.13731374085	0.155727638001	0
 17306270	0.269457678396	0.155916430255	0
 17307742	0.127864576176	0.156313073698	0
 17309362	0.129713902188	0.156520213441	0
 17309881	0.149490812132	0.156587535435	0
 17310741	0.588607834585	0.156716096228	0
 17311027	1.13703090276	0.156884439287	0
 17312596	2.05427484814	0.158668440577	0
 17312790	12.8063868249	0.159066970333	0
 17313288	0.822863048415	0.165444549492	0
 17314151	0.827192646962	0.166154681979	0
 17314353	0.831892110711	0.166321774023	0
 17314841	0.849297532004	0.166727738069	0
 17314967	0.868204170884	0.166834748775	0
 17314977	0.892201895492	0.166843431905	0
 17315102	0.923858005469	0.166954957141	0
 17317233	0.858087269757	0.168923697398	0
 17317346	0.766034347893	0.169020660824	0
 17318150	0.530038591933	0.169636553832	0
 17318333	0.340906932805	0.169733549894	0
 17323592	0.341080987018	0.171526380085	0
 17326181	0.341189770901	0.172409437607	0
 17326668	0.341189770901	0.172575598461	0
 17326914	0.341189770901	0.172659529578	0
 17327157	0.34145085222	0.172742440303	0
 17327712	0.341407338667	0.172931944003	0
 17329601	0.341363825114	0.173576862727	0
 17330370	0.341363825114	0.17383937129	0
 17331020	0.341472608997	0.174061257777	0
 17334052	0.341472608997	0.175096604033	0
 17338446	0.349326805356	0.176597034024	0
 17339003	0.495597614549	0.176791609229	0
 17339404	1.86888535459	0.176990344329	0
 17339775	3.77234222722	0.177683700164	0
 17347348	0.438964725016	0.206251648917	0
 17365226	2.77383672118	0.214099459662	0
 17365240	5.01128187165	0.214138293332	0
 17393876	4.68958617259	0.357641359878	0
 17394165	4.37402588455	0.358996650412	0
 17394677	4.16879421072	0.361236151578	0
 17394799	4.00383433042	0.361744744515	0
 17394989	3.76300857005	0.362505474561	0
 17395610	3.09590228543	0.364842302491	0
 17395705	2.59691061373	0.365136412773	0
 17396459	2.48614686397	0.367094483507	0
 17398800	2.35382214859	0.372914553968	0
 17398812	2.25326232707	0.372942798615	0
