Position(bp)	Rate(cM/Mb)	Map(cM)	Filtered
 20034919	0.0	0.0	1
 20045285	0.0	0.0	1
 20071673	0.0	0.0	1
 20076775	0.0	0.0	1
 20085638	0.0	0.0	1
 20093783	0.0	0.0	1
 20113029	0.0	0.0	1
 20151322	0.0	0.0	1
 20161372	0.0	0.0	1
 20174568	0.0	0.0	1
 20176300	0.0	0.0	1
 20177092	0.0	0.0	1
 20189247	0.0	0.0	1
 20191741	0.0	0.0	1
 20192011	0.0	0.0	1
 20197164	0.0	0.0	1
 20212798	0.0	0.0	1
 20434155	0.0	0.0	1
 20585204	0.0	0.0	1
 20968181	0.0	0.0	1
 22383292	0.0	0.0	1
 22427633	0.0	0.0	1
 22429561	0.0	0.0	1
 22432634	0.0	0.0	1
 22445206	0.0	0.0	1
 22468503	0.0	0.0	1
 22750305	0.0	0.0	1
 22753733	0.0	0.0	1
 22754774	0.0	0.0	1
 22755185	0.0	0.0	1
 22759438	0.0	0.0	1
 22759530	0.0	0.0	1
 22763396	0.0	0.0	1
 22764314	0.0	0.0	1
 22765683	0.0	0.0	1
 22766739	0.0	0.0	1
 22768701	0.0	0.0	1
 22769771	0.0	0.0	1
 22770994	0.0	0.0	1
 22772239	0.0	0.0	1
 22777680	0.0	0.0	1
 22777875	0.0	0.0	1
 22778880	0.0	0.0	1
 22780739	0.0	0.0	1
 22784095	0.0	0.0	1
 22787103	0.0	0.0	1
 22789021	0.0	0.0	1
 22796596	0.0	0.0	1
 22798709	0.0	0.0	1
 22799945	0.0	0.0	1
 22801026	0.0	0.0	1
 22804848	0.0	0.0	1
 22808811	0.0	0.0	1
 22816545	0.0	0.0	1
 22816713	0.0	0.0	1
 22817871	0.0	0.0	1
 22818332	0.0	0.0	1
 22833075	0.0	0.0	1
 22835646	0.0	0.0	1
 22837143	0.0	0.0	1
 22837281	0.0	0.0	1
 22840279	0.0	0.0	1
 22845128	0.0	0.0	1
 22847512	0.0	0.0	1
 22849957	0.0	0.0	1
 22850389	0.0	0.0	1
 22850806	0.0	0.0	1
 22853997	0.0	0.0	1
 22854972	0.0	0.0	1
 22857358	0.0	0.0	1
 22860243	0.0	0.0	1
 22860803	0.0	0.0	1
 22862603	0.0	0.0	1
 22865671	0.0	0.0	1
 22866621	0.0	0.0	1
 22868301	0.0	0.0	1
 22869547	0.00679226654323	0.0	0
 22869860	0.00681316582491	2.12545694599e-06	0
 22873325	0.0875679902036	2.57332855221e-05	0
 22873784	0.855512095223	6.59267840327e-05	0
 22876889	0.849179612876	0.00272229236218	0
 22877725	1.49087115732	0.00343220752171	0
 22878344	9.35936710951	0.00435505501255	0
 22883413	11.160174614	0.0517976867235	0
 22884624	5.89863415824	0.0653126586408	0
 22886225	0.381202897688	0.0747563731612	0
 22892083	0.382561350997	0.0769894593179	0
 22893917	0.388831135498	0.0776910774626	0
 22894120	0.390774768694	0.0777700098696	0
 22895517	0.392195919847	0.0783159220961	0
 22896314	0.370983148951	0.0786285022024	0
 22904312	0.366761494053	0.0815956254695	0
 22905647	0.364880558703	0.0820852517506	0
 22907319	0.363563903957	0.0826953310416	0
 22907565	0.361891961424	0.0827847695175	0
 22907898	0.36047081027	0.0829052789554	0
 22908858	0.35909145768	0.0832513313513	0
 22909207	0.357879299343	0.0833766538938	0
 22910324	0.357294119456	0.083776404904	0
 22910782	0.356813435977	0.0839400462795	0
 22911376	0.359028759835	0.0841519921647	0
 22913922	0.364128184562	0.0850660807666	0
 22914478	34.3968319476	0.0852685341981	0
 22914646	66.6578409056	0.0910472022997	0
 22916162	66.6578409056	0.192100489531	0
 22916208	49.3987334178	0.19516675063	0
 22916231	0.486911464382	0.196302921269	0
 22918281	0.486681572284	0.197301089771	0
 22918379	0.486932363664	0.197348784022	0
 22918657	0.487057759354	0.197484150759	0
 22920025	0.487141356481	0.198150447028	0
 22922449	0.488311716254	0.199331277341	0
 22925624	0.491655601322	0.200881667563	0
 22927142	0.490610637238	0.201627999721	0
 22927167	0.490715133647	0.201640265509	0
 22927952	0.490903227182	0.202025476889	0
 22928731	0.490903227182	0.202407889855	0
 22929906	0.491174917843	0.20298470167	0
 22932511	0.491843694857	0.204264212122	0
 22932646	0.491969090547	0.204330611229	0
 22933304	0.491969090547	0.204654326473	0
 22933317	0.492449774025	0.204660721653	0
 22935127	0.493306644574	0.205552057207	0
 22937838	0.493578335236	0.206889410601	0
 22939192	0.495877256219	0.207557715291	0
 22940670	0.502063443594	0.20829062175	0
 22941092	0.516630242919	0.208502492398	0
 22942366	0.883767924042	0.209160679745	0
 22944196	10.7200984399	0.210777974837	0
 22945405	11.1186268421	0.223738574499	0
 22946061	11.1409890734	0.231032394543	0
 22947334	11.1409890734	0.245214872798	0
 22947667	11.0241829882	0.248924821323	0
 22948004	9.69394370979	0.25263997168	0
 22948024	8.05213794024	0.252833850136	0
 22948429	7.75825224137	0.256094965689	0
 22948499	6.78766870127	0.256638043972	0
 22949828	6.77151355654	0.265658855258	0
 22953581	9.0759101522	0.291072346242	0
 22953746	11.1322531737	0.292569871731	0
 22953820	13.387724551	0.293393658716	0
 22955013	13.7675271968	0.309365213709	0
 22957656	13.2601971342	0.345752787923	0
 22958104	1.49427774023	0.351693356489	0
 22959143	1.47229169591	0.353245911877	0
 22960499	1.47321126431	0.355242338748	0
 22960700	1.46921950151	0.3555384544	0
 22960868	1.46834173168	0.355785283276	0
 22960938	1.45619924902	0.355888065943	0
 22962184	1.27957941962	0.35770249142	0
 22962359	1.13761059922	0.357926416773	0
 22964125	1.10475692844	0.359935437551	0
 22965658	1.09441178401	0.361629029651	0
 22965724	1.08513250295	0.361701261748	0
 22967644	11.0848118043	0.363784715318	0
 22968294	13.1550528481	0.370989842991	0
 22969232	12.4980630295	0.383329282562	0
 22969889	0.9960179659	0.391540510014	0
 22971564	0.252421524028	0.393208841152	0
 22972196	0.220320227381	0.393368371639	0
 22975738	0.501185673764	0.394148744547	0
 22975853	0.827757849163	0.394206380586	0
 22976461	1.56836569376	0.394709658278	0
 22976911	4.54064063379	0.39541542284	0
 22980684	3.12022095499	0.412547259972	0
 22981275	1.3368434514	0.41439131018	0
 22983869	0.927447422736	0.41785908201	0
 22984844	0.746229751362	0.418763343769	0
 22985688	0.623091183754	0.419393162432	0
 22986435	0.61491956462	0.419858610334	0
 22990345	0.615880931577	0.422262945204	0
 22990854	0.616487010746	0.42257643025	0
 22992389	0.615191255282	0.423522737184	0
 22992589	0.614689672522	0.423645775435	0
 22994595	0.613979096945	0.424878843504	0
 22996792	0.613979096945	0.4262277542	0
 22999857	0.614250787607	0.428109600759	0
 22999878	0.614250787607	0.428122499796	0
 23000272	0.61416719048	0.428364515568	0
 23001299	0.613874600537	0.428995264248	0
 23004703	0.582525678029	0.431084893556	0
 23004808	0.555126719758	0.431146059483	0
 23004893	0.521980459027	0.431193243792	0
 23006707	0.364462573069	0.432140117097	0
 23006910	0.183349398104	0.432214102644	0
 23008618	0.106920725031	0.43252726375	0
 23010510	0.100316552023	0.432729558347	0
 23013126	0.100003062798	0.432991986447	0
 23016558	0.0999194656714	0.433335196541	0
 23017052	0.0999194656714	0.433384556464	0
 23021113	0.100588242685	0.433790330647	0
 23021238	0.101006228318	0.433802903655	0
 23022836	0.101466012515	0.433964310897	0
 23030718	0.102218386655	0.434764065799	0
 23031067	0.102218386655	0.434799740873	0
 23032325	0.103346947866	0.434928332063	0
 23033803	0.291816669979	0.435081078643	0
 23033978	0.6644299629	0.435132146038	0
 23036756	55.2316393352	0.436977932976	0
 23038344	55.2316393352	0.524685774903	0
 23040028	55.2316393352	0.617695856546	0
 23040248	55.2316393352	0.629846818036	0
 23040856	55.2316393352	0.66342765425	0
 23042814	16.647072024	0.771571204612	0
 23043159	10.7850116087	0.777314444251	0
 23043239	2.04775341674	0.778177243926	0
 23043896	0.971315014964	0.779522618464	0
 23045127	0.920467062658	0.780718308167	0
 23045349	0.898146629832	0.780922650894	0
 23046360	0.904228320799	0.781830676614	0
 23046404	0.924772314682	0.781870462577	0
 23046855	0.911062385905	0.782287534911	0
 23047266	0.853526663464	0.782661981071	0
 23048542	0.387577178598	0.783751082348	0
 23050981	0.354535414275	0.784696381937	0
 23052632	0.338902751585	0.785281720658	0
 23053839	0.329790664776	0.785690776029	0
 23057858	0.516943732144	0.787016204292	0
 23058029	0.0	0.787104601984	1
 23059394	0.0	0.787104601984	1
 23059653	0.0	0.787104601984	1
 23059985	0.0	0.787104601984	1
 23061244	0.0	0.787104601984	1
 23062802	0.0	0.787104601984	1
 23062856	0.0	0.787104601984	1
 23064067	0.0	0.787104601984	1
 23064462	0.0	0.787104601984	1
 23064925	0.0	0.787104601984	1
 23065646	0.0	0.787104601984	1
