chr	pos	rate	map
chr6	183917	0.386299	0.0
chr6	188937	1.504138	0.001939
chr6	190044	0.304086	0.003604
chr6	190248	0.092453	0.003666
chr6	192106	2.052399	0.003838
chr6	194090	1.599437	0.00791
chr6	199199	0.056964	0.016082
chr6	205800	0.497285	0.016458
chr6	205878	0.169252	0.016496
chr6	206599	0.082459	0.016618
chr6	208822	0.113791	0.016802
chr6	209980	0.074917	0.016934
chr6	213426	0.118372	0.017192
chr6	215423	2.124212	0.017428
chr6	223584	0.084871	0.034764
chr6	226015	0.09381	0.03497
chr6	227920	0.250522	0.035149
chr6	228345	0.146344	0.035255
chr6	230007	3.36214	0.035498
chr6	233750	0.066358	0.048083
chr6	237215	5.987844	0.048313
chr6	239373	0.420521	0.061235
chr6	240232	0.237466	0.061596
chr6	242049	0.116763	0.062027
chr6	249597	0.196398	0.062909
chr6	253861	0.449938	0.063746
chr6	254283	0.818592	0.063936
chr6	254424	1.421788	0.064051
chr6	312023	1.449326	0.145945
chr6	375759	1.658312	0.238319
chr6	380328	1.7059	0.245896
chr6	383546	0.161809	0.251386
chr6	385687	0.110723	0.251732
chr6	390105	0.076357	0.252221
chr6	394293	0.140942	0.252541
chr6	395634	0.183655	0.25273
chr6	396321	0.104135	0.252856
chr6	398775	2.544061	0.253112
chr6	403799	3.551848	0.265893
chr6	405873	0.852969	0.27326
chr6	405900	0.144701	0.273283
chr6	408012	4.642664	0.273588
chr6	411064	0.115462	0.287758
chr6	412741	0.073727	0.287951
chr6	417727	0.12696	0.288319
chr6	422408	2.691187	0.288913
chr6	428722	3.232823	0.305905
chr6	428983	1.852648	0.306749
chr6	434348	3.50196	0.316689
chr6	434364	0.853214	0.316745
chr6	439985	1.389498	0.321541
chr6	442410	0.690962	0.32491
chr6	444600	0.141417	0.326423
chr6	449358	3.233311	0.327096
chr6	451925	0.995262	0.335396
chr6	457748	0.105554	0.341192
chr6	460901	0.170906	0.341524
chr6	462341	0.279119	0.34177
chr6	463753	0.1805	0.342165
chr6	466033	1.170838	0.342576
chr6	466368	67.143433	0.342968
chr6	467414	4.639688	0.4132
chr6	467582	2.719795	0.41398
chr6	467773	0.541841	0.414499
chr6	468597	0.595406	0.414946
chr6	471435	4.949633	0.416636
chr6	471640	8.335042	0.41765
chr6	475154	1.682544	0.44694
chr6	475489	1.275982	0.447503
chr6	475810	16.966582	0.447913
chr6	477065	0.206004	0.469206
chr6	480107	0.347403	0.469833
chr6	480753	0.169797	0.470057
chr6	483817	0.294277	0.470577
chr6	485078	0.480201	0.470948
chr6	485620	0.104531	0.471209
chr6	493976	0.310803	0.472082
chr6	496555	10.012583	0.472884
chr6	506231	0.187862	0.569765
chr6	511080	2.120927	0.570676
chr6	513015	1.990924	0.57478
chr6	514991	2.256973	0.578714
chr6	516350	0.107236	0.581782
