Position(bp)	Rate(cM/Mb)	Map(cM)	Filtered
    61651	1.95026489587	0.0	0
    63231	1.9474990744	0.003081419738	0
    63244	1.93604496592	0.00310673602344	0
    63799	1.93144528456	0.00418123962667	0
    68749	1.98396582922	0.0137418937852	0
    69094	1.99551012753	0.0144263624473	0
    71093	1.90432820884	0.0184153895071	0
    74347	1.23304530004	0.0246120712138	0
    75254	0.548083600267	0.0257304431506	0
    80655	0.546820942639	0.02869064475	0
    87112	0.546820942639	0.032221465382	0
    87416	0.546820942639	0.0323877002714	0
    88155	0.546971259024	0.0327918018198	0
    90984	0.558695936995	0.03433918273	0
    91088	0.56494909858	0.0343972860251	0
    91346	0.596635792381	0.0345430448166	0
    91508	0.600093069219	0.0346396982517	0
    91707	0.627991790137	0.0347591186063	0
    92366	0.534675378792	0.0351729636628	0
    96931	0.287224547033	0.0376137560154	0
    97122	0.0525205446584	0.037668615483	0
    98930	0.0395933356125	0.0377635733493	0
   100699	0.0369477672496	0.0378336147717	0
   101362	0.0356550463451	0.0378581103296	0
   102181	0.0334003005813	0.0378873137968	0
   102441	0.0307847954952	0.0378959960711	0
   118222	0.0307847954952	0.0383818126124	0
   121976	0.0307847954952	0.0384973788549	0
   124302	1.39640914644	0.0385689835677	0
   125121	3.35509175983	0.0397126417267	0
   126417	3.46031322881	0.0440608407677	0
   126529	3.5349904085	0.0444483954886	0
   126930	1.93448167552	0.0458659270933	0
   127194	0.960431505553	0.0463766300151	0
   127720	0.441028271401	0.0468818163257	0
   128432	0.425545683823	0.0471958302587	0
   129063	0.424493469133	0.0474643494349	0
   129635	0.423441254444	0.0477071584967	0
   130133	0.422839988907	0.0479180313395	0
   132775	0.422689672522	0.0490351766946	0
   134017	0.422419103031	0.0495601566666	0
   136568	0.421126382126	0.0506377477684	0
   136983	0.42013429399	0.0508125146157	0
   137900	0.417097903028	0.0511977785149	0
   138460	0.415504549355	0.0514313521381	0
   139362	0.414843157264	0.0518061389853	0
   139456	0.414542524496	0.0518451340617	0
   139576	0.413911195682	0.0518948797659	0
   139741	0.413911195682	0.0519631745119	0
   144570	0.381082097361	0.0539619525176	0
   145413	0.292455557205	0.0542832026814	0
   145976	0.203979333433	0.0544478562424	0
   146612	0.130745191024	0.0545775852946	0
   151728	0.0946993220801	0.0552464781729	0
   153057	0.0827040746166	0.0553723350751	0
   161638	0.102155014739	0.0560820178074	0
   162102	0.121696144692	0.0561294185761	0
   164083	0.145506259958	0.0563704989995	0
   164436	0.171961943587	0.056421862108	0
   168241	0.20085275264	0.0570761773033	0
   168728	0.235365394465	0.0571739911809	0
   169609	0.260738800127	0.0573813496266	0
   169701	0.295582137997	0.0574053371152	0
   169995	0.315213457781	0.0574922380233	0
   171189	0.325946047617	0.0578686031925	0
   174915	0.312387509757	0.0590830784064	0
   181638	0.308328967382	0.061183259845	0
   183222	0.306074221618	0.061671652809	0
   186405	0.305052070205	0.062645886365	0
   188107	0.304841627267	0.0631650851689	0
   191797	0.304841627267	0.0642899507735	0
   193321	0.304571057776	0.064754530616	0
   194527	0.304330551561	0.0651218437325	0
   197162	0.303759349301	0.0659237545856	0
   198007	0.303428653255	0.0661804288307	0
   199823	0.303248273594	0.0667314556257	0
   201502	0.303128020487	0.0672406102888	0
   206402	0.303128020487	0.0687259375892	0
   208168	0.30366915947	0.0692612623348	0
   208685	0.304270425007	0.0694182587791	0
   209851	0.304270425007	0.0697730385156	0
   210061	0.305202386589	0.0698369350042	0
   210269	0.305743525573	0.0699004166196	0
   210306	0.305683399019	0.0699117294307	0
   215641	1.20589816104	0.0715425509657	0
   215664	1.9102206111	0.0715702873449	0
   216098	1.84621589469	0.0723993212864	0
   216647	1.81101179749	0.0734128926401	0
   216811	1.78407510143	0.0737098997774	0
   217281	1.76820169126	0.0745484156763	0
   220303	1.07241721182	0.079891919624	0
   220444	0.658205383372	0.0800431318939	0
   220807	0.493278246568	0.0802820597867	0
   220865	0.374678619392	0.0803106710073	0
   221554	0.361721347069	0.0805688243656	0
   222262	0.362322612606	0.0808249213958	0
   222632	0.362833688312	0.0809589825662	0
   222836	0.364306788878	0.0810330013602	0
   223255	0.36514856063	0.0811856446421	0
   223351	0.365779889444	0.0812206984229	0
   224128	0.369477672496	0.0815049106296	0
   224971	0.37335583521	0.081816378203	0
   226066	0.376332099618	0.0822252056986	0
   227967	0.378075769676	0.0829406124788	0
   229456	0.397286203583	0.0835035653758	0
   230983	0.536238669188	0.0841102212584	0
   231505	0.737662624088	0.0843901404292	0
   232340	0.821479039948	0.0850060858643	0
   233623	1.29151837351	0.0860600442241	0
   235532	0.835909412837	0.0885255546029	0
   236802	0.814263853504	0.0895871580541	0
   236828	0.796225887394	0.0896083286136	0
   237497	0.788770194735	0.0901410047845	0
   238530	0.784471146145	0.0909558037643	0
   239519	0.761713245569	0.09173164675	0
   240007	0.740518635389	0.0921033611303	0
   241366	0.725547123517	0.0931097263166	0
   241638	0.714183204868	0.0933070766975	0
   242409	0.709403143849	0.0938577096636	0
   243352	0.964820743973	0.0945266777001	0
   243924	3.27776901177	0.0950785552859	0
   244333	17.8040437533	0.0964191639842	0
   248926	10.376881144	0.178193134929	0
   248935	4.39756594791	0.178286526498	0
   250076	4.41247733322	0.183304150538	0
   251494	4.46550895359	0.189561042975	0
   252165	4.47046939427	0.192557398671	0
   252256	4.47308489936	0.192964211928	0
   252757	4.4749788858	0.195205227793	0
   253451	4.48081116151	0.1983108635	0
   254013	4.49052159993	0.200829080816	0
   254766	5.16279659687	0.204210441867	0
   254851	5.21657979915	0.204649278526	0
   254910	5.22529814944	0.204957057335	0
   254933	5.20500543757	0.205077241297	0
   255240	4.34083654449	0.206675176614	0
   256107	4.24920367665	0.210438680996	0
   256886	2.64728196965	0.213748813125	0
   256992	1.52312585837	0.214029423751	0
   257032	0.824365114526	0.214090349988	0
   258305	3.21445575072	0.215139765787	0
   258748	4.81679834359	0.216563770015	0
   258820	5.34675378792	0.216910579977	0
   259156	5.30207975852	0.218707089249	0
   259202	5.0866463166	0.218950983596	0
   259398	3.53946983675	0.219947966033	0
   259818	0.90222900157	0.221434543966	0
   262111	0.901808115694	0.223503354375	0
   263660	0.902018558632	0.224900256559	0
   263938	0.902589760892	0.225151017358	0
   264472	0.903491659197	0.225633000831	0
   264863	0.903221089706	0.225986265378	0
   264997	0.902679950722	0.226107297125	0
   265928	0.902529634338	0.226947691978	0
   269006	0.903251152983	0.229725677051	0
   270634	0.903341342813	0.23119617113	0
   271341	0.90451381061	0.231834832377	0
   272437	0.904844506656	0.232826180957	0
   274333	0.905505898746	0.234541765901	0
   274541	0.908752732646	0.234730109324	0
   277617	1.29233008199	0.237525434894	0
   278806	1.31208165488	0.239062014069	0
   279483	1.32666234415	0.23995029371	0
   283535	6.07010629222	0.245325929288	0
   283875	5.76917289095	0.247389764225	0
   283877	5.53425844564	0.247401305517	0
   284048	4.97372864875	0.248347661396	0
   284755	4.92388373573	0.251864087731	0
   284814	4.88116381933	0.252154598194	0
   284834	4.81824138088	0.252252219667	0
   285323	4.27253277948	0.254608341807	0
   285349	3.52344611019	0.254719425615	0
   286047	2.73233097986	0.25717879106	0
   286838	2.65161108152	0.259340067089	0
   288233	10.4665598989	0.263039064698	0
   288905	11.0624741726	0.270072590786	0
   288922	11.394583192	0.270260654621	0
   288996	11.6881811537	0.271103851372	0
   289362	11.6696922385	0.275381726395	0
   289612	11.6450704147	0.278299150958	0
   289785	11.5979011333	0.28031374826	0
   290257	10.8505280708	0.28578795531	0
   290297	10.2895473248	0.286221978838	0
   290318	9.39254933339	0.286438058641	0
   290778	4.51595513214	0.29075862953	0
   291751	4.44494567222	0.295152654024	0
   291789	4.33028433431	0.295321564545	0
   291881	4.25392361111	0.295719948058	0
   292615	3.68882419615	0.298842329011	0
   294916	3.55597457574	0.307330313426	0
   295312	3.468370187	0.30873848032	0
   296172	23.1541045017	0.311721277478	0
   300482	23.7705219302	0.411515468181	0
   304086	23.7719649675	0.497184428256	0
   308193	23.7284634059	0.594815890873	0
   308403	0.0905505898746	0.599798866985	0
   308878	0.0387215005838	0.599841878516	0
   308923	0.0385110576459	0.599843622186	0
   310474	0.0385110576459	0.599903351904	0
   311290	0.0385110576459	0.599934777047	0
   313237	0.0385110576459	0.600009757866	0
   317824	0.0385110576459	0.600186406675	0
   317985	0.0385711841996	0.600192608729	0
   319905	8.32494224587	0.600266663599	0
   321502	29.3684543962	0.613561597628	0
   322612	29.5141410359	0.646160582609	0
   324123	29.7154447376	0.690756450496	0
   325102	29.878147192	0.71984786879	0
   329769	14.9000514626	0.859289181314	0
   329842	2.49465071308	0.860376885702	0
   332302	2.59295762838	0.866513726456	0
   333463	2.85282459348	0.869524151766	0
   335225	2.93973752686	0.874550827857	0
   341946	5.7485795463	0.894308804226	0
   342036	8.14907207629	0.894826175183	0
   344631	13.5044540247	0.915973017822	0
   345617	15.8980921275	0.929288409911	0
   345864	16.4484304736	0.933215239058	0
   346923	21.9800734141	0.95063412714	0
   347355	26.1204179653	0.960129516931	0
   349224	13.2583861036	1.00894857775	0
   349737	12.3912409462	1.01575013258	0
   350490	11.8150181188	1.02508073654	0
   351634	5.6770289474	1.03859711666	0
   351944	3.66233844924	1.04035699383	0
   352647	2.51713804416	1.04293161887	0
   352717	1.5058094109	1.04310781974	0
   353085	1.43906893629	1.04366195808	0
   353709	1.42914805493	1.04455993614	0
   354338	1.43083159844	1.0454588702	0
   354967	1.43128254759	1.0463588625	0
   356003	1.43089172499	1.0478416705	0
   356785	1.43065121878	1.04896062867	0
   357570	1.42626198036	1.05008369047	0
   358619	1.38729997356	1.05157983755	0
   358935	1.31541867861	1.05201822626	0
   360403	3.33467879485	1.05394925968	0
   360460	10.0414952275	1.05413933776	0
   360722	10.1324667032	1.05677020818	0
   360789	10.1401929654	1.05744908508	0
   362281	10.1468670129	1.07257825178	0
   362328	10.1468670129	1.07305515456	0
   362441	9.78631813358	1.0742017499	0
   362945	1.29747090233	1.07913405436	0
   364747	1.52201351713	1.08147209644	0
   365302	1.73410993531	1.0823168144	0
   366115	4.46659123156	1.0837266468	0
   366964	32.3532567751	1.08751878344	0
   368905	32.3532567751	1.15031645328	0
   370055	15.6733090065	1.18752269857	0
   370150	3.34619302988	1.18901166353	0
   371781	3.34598258694	1.19446930571	0
   371972	3.37658700278	1.19510838785	0
   372358	3.43310596326	1.19641174814	0
   373667	5.38514459246	1.20090568493	0
   374384	11.9458835629	1.20476683484	0
   374945	15.5102758561	1.21146847437	0
   375106	16.0428768688	1.21396562936	0
   377226	16.1090160779	1.24797652712	0
   377547	16.1264828418	1.25314752197	0
   377810	16.1440097322	1.25738878593	0
   379541	0.237469823845	1.28533406886	0
   380980	0.242610644186	1.2856757861	0
   381321	0.250186589952	1.28575851723	0
   381670	0.37392703747	1.28584583301	0
   382876	10.079344893	1.28629678818	0
   382948	15.8140352054	1.28702250065	0
   383720	8.94430587555	1.29923093583	0
   383760	0.733273385668	1.29958870987	0
   384341	0.33679889056	1.30001473957	0
   384644	0.315333710888	1.30011678936	0
   384898	0.306555234048	1.30019688394	0
   385052	0.305893841957	1.30024409531	0
   385864	0.30862960015	1.30049248111	0
   387376	0.736550282845	1.30095912931	0
   387757	2.129562279	1.30123975497	0
   387815	3.91456934202	1.30136326994	0
   389456	3.87088740076	1.3077870767	0
   389984	3.85077506854	1.30983090452	0
   390310	2.57633263628	1.31108625978	0
   390646	0.658896838739	1.31195190478	0
   391025	0.134563227184	1.3122016284	0
   394585	0.134563227184	1.31268067168	0
   395767	0.136968289332	1.31283972746	0
   397928	0.857975858045	1.31313571545	0
   398278	2.17709231971	1.3134360055	0
   398884	2.20763660899	1.31475532338	0
   399761	2.20556224288	1.31669142246	0
   399829	2.20694515362	1.31684139913	0
   400872	2.20724578639	1.31914324503	0
   402171	2.21091350616	1.32201045791	0
   402710	2.20288661124	1.32320213915	0
   402921	2.1794372553	1.32366694747	0
   403653	1.96824273542	1.32526229735	0
   404899	0.601987055661	1.32771472719	0
   405578	0.493368436399	1.32812347652	0
   406058	0.477585216052	1.32836029398	0
   408651	0.481252935828	1.32959866949	0
   411319	0.51092539008	1.33088265401	0
   411773	0.524453864662	1.33111461324	0
   411842	0.538433288398	1.3311508004	0
   413147	0.543363665802	1.33185345735	0
   414133	0.543694361847	1.332389212	0
   415205	0.546790879363	1.33297205476	0
   415487	0.547151638685	1.33312624931	0
   416149	0.556892140384	1.33348846369	0
   416400	0.555749735864	1.3336282429	0
   416956	0.545979170888	1.33393723927	0
   418199	0.545888981057	1.33461589069	0
   419067	0.545888981057	1.335089724	0
   420098	0.545888981057	1.3356525356	0
   420105	0.545888981057	1.33565635665	0
   422348	0.54480670309	1.33688078581	0
   424433	0.54480670309	1.33801670869	0
   425097	0.545227588966	1.3383784601	0
   425434	0.545227588966	1.33856220084	0
   425865	0.544776639814	1.33879719345	0
   426057	0.545167462413	1.3389017896	0
   426433	0.545498158458	1.33910677305	0
   426899	0.545588348289	1.33936097609	0
   428553	0.545257652243	1.34026337946	0
   428767	0.549646890663	1.34038006405	0
   430736	0.134623353738	1.34146231797	0
   438919	0.154525243013	1.34256394166	0
   440443	1.87345322351	1.34279943933	0
   441991	1.97163988571	1.34569954444	0
   443798	1.96713039418	1.34926229828	0
   448659	0.445928585528	1.35882451874	0
   450375	0.329463451008	1.35958973135	0
   450704	0.245135959442	1.35969812449	0
