Position(bp)	Rate(cM/Mb)	Map(cM)	Filtered
    14159	0.355790809971	0.0	0
    29880	0.335055395304	0.00559338695485	0
    30432	0.309172996486	0.00577833771003	0
    38139	0.266079908538	0.00816113476084	0
    48534	0.252969109365	0.0109270355576	0
    51045	0.230714670722	0.0115622397671	0
    52164	0.205820374879	0.0118204104275	0
    55182	0.194228599681	0.0124415762009	0
    69803	0.212324157146	0.0152813915245	0
    72468	0.365730830941	0.0158472368043	0
    75167	1.08666255963	0.0168343443023	0
    76754	1.13580224787	0.0185588774747	0
    77973	1.14580126006	0.0199434206361	0
    79438	1.1443117317	0.0216220188185	0
    80072	1.12192456281	0.0223475120434	0
    80494	1.1047728649	0.0228209652708	0
    81437	1.09567346885	0.0238627650058	0
    82043	1.09093942325	0.0245267436588	0
    85756	1.09121963156	0.0285774010147	0
    86543	1.09402171462	0.0294361922805	0
    86641	1.09539326054	0.0295434058776	0
    88051	1.10729473966	0.0310879096376	0
    89351	1.13184983597	0.0325273927992	0
    90162	1.12714528599	0.0334453242402	0
    90199	1.11800164652	0.0334870280849	0
    92901	1.08424391951	0.0365078682978	0
    94917	1.00917758904	0.0386937039805	0
    99784	0.295664006561	0.043605372147	0
   109539	0.333108684966	0.0464895739411	0
   111163	0.205658149017	0.0470305426224	0
   113577	0.14522164169	0.0475270009517	0
   114071	0.121094231738	0.0475987401773	0
   118406	0.121123727349	0.0481236838931	0
   126123	0.121315448821	0.0490583953873	0
   136501	0.123099933298	0.050317408177	0
   139279	0.12500240022	0.0506593788184	0
   140532	0.126093737834	0.0508160078877	0
   140788	0.126359198335	0.0508482878846	0
   141659	0.123512871855	0.0509583463334	0
   143197	0.123512871855	0.0511483083929	0
   143534	0.122628003519	0.0511899325994	0
   151240	0.122554264491	0.052134904142	0
   151267	0.122554264491	0.0521382135496	0
   153609	0.122451029852	0.0524252353421	0
   156287	0.122686994742	0.0527531586986	0
   159605	0.124515722635	0.0531602350025	0
   160597	0.133851083577	0.0532837537735	0
   161191	2.16254447337	0.053363262143	0
   161301	5.4674687159	0.0536011412977	0
   161702	5.67911447399	0.0557935957956	0
   161923	5.96746356898	0.0570486812447	0
   162929	5.97853917098	0.0630519495361	0
   163175	5.98113478476	0.0645226700247	0
   163266	5.98113478476	0.0650669525379	0
   163622	5.98113478476	0.0671962377601	0
   163769	5.98113478476	0.0680754635854	0
   164143	5.23036824536	0.0703124077884	0
   164193	3.24118422675	0.0705739262007	0
   164300	0.166148777829	0.0709207326475	0
   168737	0.166753437859	0.0716579356301	0
   169361	0.167343350082	0.0717619902472	0
   169409	0.167343350082	0.0717700219022	0
   172971	4.48079627821	0.0723660987087	0
   173200	4.48321491832	0.0733922008794	0
   173258	4.47237528121	0.0736522282886	0
   173424	3.89992445925	0.0743946416709	0
   173927	1.39400682822	0.0763563048095	0
   174106	0.0775587096222	0.076605831781	0
   178709	0.0981613940379	0.0769628348606	0
   178946	0.121831622017	0.0769860980491	0
   180325	1.10076146178	0.0771541035757	0
   180646	0.64335827126	0.0775074491995	0
   181220	0.613140017597	0.0778767357264	0
   181660	0.585856577247	0.0781465173341	0
   181762	0.548028455897	0.0782062754424	0
   183134	0.527676484176	0.0789581701889	0
   183401	0.507265521233	0.0790990604001	0
   183516	0.49652911876	0.0791573953451	0
   184336	1.50370100623	0.0795645498124	0
   184393	3.89101678467	0.0796502596342	0
   184702	2.85429029479	0.0808525848088	0
   184750	1.78904154888	0.080989590448	0
   184760	0.778049979756	0.0810074810109	0
   185051	0.765735562085	0.0812338937467	0
   185056	0.755117142056	0.0812377222771	0
   185092	0.749940662293	0.0812649069071	0
   185094	0.745973502588	0.081266406759	0
   185160	0.733187155137	0.0813156408332	0
   185309	0.736136716256	0.0814248852031	0
   185369	0.737316540704	0.0814690534061	0
   185498	0.739602450571	0.0815641679035	0
   186095	0.738481617346	0.0820057098291	0
   187218	1.17503141075	0.0828350246559	0
   187888	8.04389560548	0.0836222964385	0
   188016	8.5748461025	0.084651914486	0
   188330	8.57745646409	0.0873444169291	0
   188380	8.58073047693	0.0877732890149	0
   188719	8.58073047693	0.0906821565139	0
   188747	8.57899023587	0.0909224174392	0
   188896	7.8973761569	0.0922006864386	0
   188918	6.21561014591	0.0923744288616	0
   189504	0.793387697574	0.096016776997	0
   190639	0.787488575337	0.0969172721075	0
   190784	0.782784025352	0.0970314569923	0
   191793	0.787783531449	0.0978212860444	0
   192842	0.852231441897	0.098647671957	0
   195318	1.1770076167	0.10075779683	0
   196040	1.18154994083	0.101607596359	0
   196333	1.17007614807	0.101953790772	0
   198861	0.751607164325	0.104911741917	0
   199126	0.489597650131	0.105110918406	0
   200868	0.415991352408	0.105963797276	0
   200910	0.359890699926	0.105981269002	0
   201541	0.347709012505	0.106208360136	0
   201594	0.340069649207	0.106226788994	0
   204082	0.333108684966	0.1070728824	0
   204952	0.6793134213	0.107362687103	0
   205320	0.378104239835	0.107612674206	0
   205565	0.335247116777	0.107705309597	0
